code,nl
if not url :,"if url is false ,"
cmp fmt = None,cmp_fmt is None .
"def handle ( self , * app labels , ** options ) :","and help set to string 'One or more application label. ' . define the method handle with 3 arguments : self , unpacked list app_labels and unpacked dictionary options ."
"warnings . warn ( "" STR_ "" "" STR_ "" , RemovedInDjango19Warning )","call the function warnings.warn with 2 arguments : string `` Custom SQL location ' < app_label > /models/sql ' is deprecated , use ' < app_label > /sql ' instead . '' and RemovedInDjango19Warning ."
class BooleanField ( Field ) :,derive the class BooleanField from the base class Field class .
"def delete cookie ( self , key , path = / , domain = None ) :","define the method delete_cookie with 4 arguments : self , key , path set to character '/ ' and domain set to None ."
if token . contents == STR_ :,"if token.contents equals string 'empty ' ,"
"except ( OSError , IOError ) :","if OSError or IOError exceptions were raised ,"
self . active writers += NUM_,"increment self.active_writers by integer 1 ,"
except OSError as err :,"if OSError , renamed to err , is caught ,"
code list . append ( opt dict [ o ] ),append value under the 0 key of the opt_dict dictionary to code_list .
try :,"try ,"
for f in opts . many to many + opts . virtual fields :,"append opts.virtual_fields to opts.many_to_many , for every f in the result ,"
if self . use natural keys :,"if the key doesnt exists substitute boolean False for self.use_natural_keys . if self.use_natural_keys is true ,"
if six . PY2 :,"if six.PY2 is true ,"
else :,if not .
"def to python ( self , value ) :",define the method to_python with arguments self and value .
import os,import module os .
"elif options [ "" STR_ "" ] and not options [ "" STR_ "" ] and not options [ "" STR_ "" ] :","of the options dictionary and value under the 'port ' key of the options dictionary converted into an integer . if value under the 'socket ' key of the options dictionary is true and values under the 'host ' and 'port ' keys of the options dictionary are false ,"
self .  callback = callback,substitute callback for self._callback .
if os . path . abspath ( dirpath ) . startswith ( os . path . dirname ( path ) ) :,"call the function os.path.abspath with an argument dirpath , if it starts with return value of the method os.path.dirname ,"
def quote etag ( etag ) :,define the function quote_etag with an argument etag .
"args = [ STR_ , STR_ , domain , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ , STR_ ] + command . xgettext options","append command.xgettext_options to list containing 15 elements : string 'xgettext ' , string '-d ' , domain , string ' -- language=Python ' ,"
"raise TemplateSyntaxError ( "" STR_ "" "" STR_ "" % var )","or first element of var equals ' _ ' , raise an TemplateSyntaxError exception with an argument string `` Variables and attributes may not begin with underscores : ' % s ' '' ,"
"if is in stance ( stream or string , bytes ) :","if stream_or_string is instance of bytes type ,"
self .  start relational field ( field ),call the method self._start_relational_field with the argument field .
self . validate key ( key ),call the self.validate_key method with argument key .
"parser . add argument ( STR_ , default = DEFAULT DB ALIAS , help = STR_ STR_ )","call the method parser.add_argument with 3 arguments : string ' -- database ' , default set to DEFAULT_DB_ALIAS ,"
new value = value + delta,"add value and delta together , substitute the result for new_value ."
defaults [ STR_ ] = self . data,substitute self.data for value under the 'data ' key of the defaults dictionary .
f . required = False,f.required is boolean False .
result . parent = self,substitute self for result.parent .
except StopIteration :,"if StopIteration exception ,"
commands = get commands ( ),"call the function get_commands , substitute it for commands ."
  [ m [ k ] ] = v,substitute v for value under the k-th element of m key of _ dictionary .
"def has vary header ( response , header query ) :","substitute it for value of dictionary response under the key 'Vary ' . define function has_vary_header , with response and header_query as arguments ."
"parentmod , submod = get mod func ( mod name )","call the function get_mod_func with an argument mod_name , store the result in parentmod and submod , respectively ."
if not is  valid ipv6 address ( ip str ) :,"call he function is_valid_ipv6_address with an argument ip_str , if it evaluates to false ,"
config [ STR_ ] = config . pop ( STR_ ),"remove config dictionary entry under 'format ' key , substitute it for value under 'fmt ' key of config dictionary ."
"def iter format modules ( lang , format module path = None ) :",define the function iter_format_modules with 2 arguments : lang and format_module_path set to None .
except IndexError :,"if IndexError exception is caught ,"
"def do ntranslate ( singular , plural , number , translation function ) :","define the function do_ntranslate with 4 arguments : singular , plural , number and translation_function ."
except UnicodeDecodeError as e :,"if an exception of the type UnicodeDecodeError , renamed to e , is caught ,"
"def open ( self , mode = None ) :",define the method open with arguments self and mode defaulting to None .
"super ( HttpResponseNotModified , self ) .   init   ( * args , ** kwargs )","call the __init__ method from the base class of the HttpResponseNotModified class , called with arguments : unpacked list args ,"
if not m :,"if m is false ,"
self . style = no style ( ),"call the function no_style , substitute it for self.style ."
def in ner ( check ) :,define the method inner with argument check .
"return [ Warning ( "" STR_ "" , hint = ( "" STR_ "" "" STR_ "" "" STR_ "" ) , obj = field , id = STR_ , ) for field in problem fields ]","or model._meta.app_config is contained in app_configs , for every field in model._meta.local_fields , # ANNOTATION only if field is an instance of models.BooleanField and field.has_default ( ) evaluates to False . call the Warning function with 4 arguments : string `` BooleanField does not have a default value . `` ,"
return s,return s .
write ( end ),call the function write with an argument end .
obj pk = obj pk . pk,substitute obj_pk.pk for obj_pk .
return False,return boolean False .
"def  long to bin ( x , hex format string ) :",define the function _long_to_bin with 2 arguments : x and hex_format_string .
if format not in  serializers :,"if format is not contained in _serializers ,"
raise LookupError ( lang code ),raise an LookupError with an argument lang_code .
"self . nodelist = compile string ( template string , or igin )","call the function compile_string with 2 arguments : template_string and origin , substitute the result for self.nodelist ."
"iterator = ChunkIter ( stream or iterable , NUM_ )","iterator is an instance of ChunkIter class , created with arguments : stream_or_iterable and integer 16384 ."
